id;numero;rtr;rtr_libelle;objet;description;date_besion;date_creation;createur;budget;affectation_libelle;date_affictation;more_information;etat;message_validation;message_clouture;date_clouture;meilleur_prix_magasin;prix_negocie
1;47305;navigating executive Sleek Fresh Mouse;deposit;District responsive bifurcated;explicit Utah Ergonomic;2020-10-23;2020-10-23;Wooden object-oriented Toys;37972;Borders Naira;2020-10-22;PNG Towels;content-based Fresh;virtual;Sleek Concrete Bacon;2020-10-23;70690;11823
2;72839;Accountability Fantastic;wireless;Grocery Fantastic Metal Soap;Awesome Fresh Mouse card interface;2020-10-22;2020-10-22;Handcrafted Sleek Inlet;36133;New Mexico;2020-10-23;Towels Saint Barthelemy overriding;Personal Loan Account quantify;Home Loan Account Wooden Object-based;killer bus deposit;2020-10-22;24410;99311
3;1092;Burundi Faroe Islands Iowa;brand;bleeding-edge Liechtenstein Intelligent;rich Analyst redundant;2020-10-22;2020-10-23;Car Direct payment;74144;monitoring microchip Response;2020-10-23;bluetooth backing up;Incredible;payment Indiana hard drive;Research Tuna;2020-10-23;27245;64824
4;34128;Freeway Virginia Lock;Customer;bypass;content;2020-10-22;2020-10-23;Chair;30959;hardware Quality-focused;2020-10-22;Sleek;Avon tan streamline;Producer Bike Administrator;Cheese haptic USB;2020-10-22;3651;44934
5;46566;Forward Handmade;yellow Investment Account sky blue;Future Automotive Bedfordshire;Incredible Steel Hat;2020-10-23;2020-10-22;deposit Wisconsin Gorgeous Soft Mouse;2598;Savings Account;2020-10-23;bypassing;Panama Central Mexican Peso Mexican Unidad de Inversion (UDI);Orchestrator;sensor Optional haptic;2020-10-23;76203;99065
6;93536;real-time systemic;interactive Colorado;New Hampshire;deposit Utah;2020-10-23;2020-10-22;Toys Operations feed;84168;synthesizing white Ergonomic Rubber Bike;2020-10-22;empower clear-thinking Avon;plum;customized XML Orchestrator;Bahamian Dollar;2020-10-22;99447;83186
7;42692;Refined Michigan Montana;Handmade Steel Shirt Tuna Money Market Account;bypassing;Corporate;2020-10-22;2020-10-23;4th generation Unbranded Cotton Shoes JSON;41418;back-end New Jersey hierarchy;2020-10-22;wireless;Product Licensed;integrated Moldova Rhode Island;Nepal vortals Assistant;2020-10-22;12740;43850
8;43846;Unbranded Granite Pants Awesome Fresh Pizza;Savings Account Afghani;Rustic engineer parsing;Nigeria Internal system;2020-10-22;2020-10-22;RAM;44110;Direct knowledge base;2020-10-22;Associate;Tasty Metal Chicken grid-enabled;Optional Swiss Franc;Assimilated copying;2020-10-23;74885;93857
9;10335;Alabama;Soap;invoice e-enable;Fish Chips;2020-10-23;2020-10-23;Circles ROI;11912;Bypass scale;2020-10-22;Credit Card Account;protocol;matrix Soap Iowa;Proactive multi-byte generating;2020-10-23;69345;4664
10;33734;Louisiana Executive grey;violet Manor;sky blue Auto Loan Account groupware;withdrawal Maine;2020-10-22;2020-10-23;Savings Account Frozen Burg;13050;Niue Executive;2020-10-23;panel logistical hacking;Money Market Account orange;Concrete;orange;2020-10-22;62839;36050
